FID IID V1
1 1 -1.5568176632756
3 3 0.711407552382183
4 4 0.703662033919661
5 5 -1.43730282034041
7 7 -0.856395820663052
8 8 -0.310982584015082
13 13 0.693481753204192
14 14 0.336894391500998
15 15 1.03221426315932
16 16 0.571112239719686
18 18 -0.839786752596456
20 20 1.33864770318513
21 21 1.08160596960025
22 22 1.58270944846858
23 23 -1.4751536483913
24 24 1.928473120881
28 28 1.64800805296102
31 31 0.383716909401351
33 33 2.29301736238667
35 35 1.54822047468862
36 36 -0.417817519613205
37 37 -1.83680833212484
39 39 -1.39749727856006
43 43 0.226025422754508
44 44 0.00293552012432986
45 45 1.0728672122024
47 47 -0.668356985564469
48 48 -0.435591038472339
50 50 1.47608149468103
51 51 -1.07190174004606
52 52 -0.614632600763877
56 56 -0.670504360442
57 57 -2.06492071141751
59 59 0.291578403540642
65 65 0.16493955793814
66 66 1.71301992688652
68 68 -0.770750380088776
69 69 -0.222651579256527
70 70 -0.43492728025791
72 72 0.0219081145111663
73 73 0.031788648774745
74 74 0.325059699453291
75 75 -0.300136982881652
81 81 0.100135314851095
84 84 1.97857184052042
90 90 0.231622415118882
92 92 0.112441829979593
95 95 0.705413285733572
97 97 -1.22192334061576
98 98 0.331500355489477
99 99 -0.624250126741214
102 102 -0.339953461885413
103 103 0.726308150101034
112 112 0.988911107053821
114 114 0.422423555231025
119 119 0.569366295890836
121 121 -0.377742466728657
125 125 1.56484710079599
127 127 0.465334708097603
132 132 0.546140299638182
137 137 -2.27311902790445
145 145 -0.92976495816815
147 147 -0.141356376417392
149 149 0.919806054904439
150 150 -0.245335866899307
153 153 1.74601630532372
154 154 1.63812194812922
156 156 -1.5483472812131
164 164 -0.510325209409341
169 169 -0.693950371846166
170 170 -0.106831608852445
172 172 -0.0251761192609421
175 175 -1.69667885763245
180 180 1.42076898321909
181 181 -0.0042452661203279
183 183 0.26935003350457
191 191 -0.120686639326832
193 193 -0.801467178534074
194 194 -1.16159171786583
198 198 0.265510162592887
199 199 -1.04994694013634
200 200 -0.481277896095293
204 204 2.04006378643976
205 205 0.120087075667579
206 206 0.776077331125005
209 209 0.656631171769878
211 211 -1.6036512315485
212 212 0.727271275111458
213 213 0.0637844226372817
217 217 -0.223017634041566
218 218 -0.54888072675416
222 222 -0.756287191002027
227 227 1.28469302704751
228 228 1.48640960501103
229 229 -0.820417454118426
230 230 -0.136851203638792
233 233 0.83331391205299
236 236 0.522982160817173
240 240 1.26313990130798
241 241 -0.253954036165775
242 242 0.0481833237886353
245 245 0.773300916352152
247 247 -0.076803342098996
255 255 0.085455103351119
258 258 -1.86587798083269
262 262 1.25601026137588
264 264 -1.41163149388562
265 265 -0.412751423817922
271 271 -0.409507431557002
273 273 0.335548639189917
274 274 -0.838589282852483
275 275 -0.0521460357548324
277 277 -1.17941360932669
279 279 0.143679944876109
280 280 0.740752160759263
283 283 1.05262685783516
288 288 0.689812677485752
290 290 1.30216198396839
293 293 -1.51792405287236
297 297 -1.11788527005586
304 304 -0.286689942741523
309 309 -0.600453804351222
313 313 0.79300224224947
314 314 0.355709952771605
315 315 1.23482693925959
316 316 -1.14349176191428
318 318 0.157230381430897
320 320 -1.26768398489043
321 321 0.383137445910145
322 322 0.310443791153847
323 323 0.000814300713592734
327 327 1.07820694860855
331 331 -0.440022847867557
333 333 -0.756679659384448
334 334 -1.49552579313739
336 336 -0.956774207559554
337 337 -2.13869900235272
338 338 -0.413448971530823
340 340 -0.888152849982274
341 341 -0.0992922618380224
343 343 -0.80527830028085
345 345 -0.190910767667395
346 346 1.37563086831202
347 347 1.27344418532901
349 349 -1.18355233142902
350 350 0.707077633988042
352 352 1.52842376171137
354 354 -1.48218960657418
355 355 1.26056247655207
357 357 -0.953511883996472
363 363 1.27202098342819
364 364 -0.248038578638202
365 365 -0.54689431831042
367 367 -1.53183068601853
369 369 -0.443361224545739
371 371 -0.989491063470017
372 372 1.19515770420248
375 375 0.127043059929414
376 376 -1.36500025441
377 377 0.612138409886155
382 382 -0.11016760118439
384 384 -1.11205583280998
385 385 -1.11589355638086
388 388 0.105073086902888
390 390 0.617314858292177
394 394 -1.15236274726594
396 396 1.8041791199364
405 405 -0.0788110524488354
409 409 -2.27707072387934
414 414 0.0809199102086741
417 417 -0.69571858465452
419 419 0.898765179210127
422 422 1.21909996096853
424 424 0.111247920802115
428 428 -1.49843616304382
431 431 -0.339432929146466
435 435 -1.62616498471128
437 437 -1.04472690824421
439 439 -2.36730791804647
444 444 0.865767564834256
446 446 -1.38452796361382
454 454 -0.665414162522833
455 455 0.298571673963264
456 456 -0.318647571287114
457 457 1.12365553497558
462 462 -0.303093259029851
465 465 1.04350571594035
468 468 0.963848111054244
472 472 -0.473206485590503
473 473 1.00203955540732
476 476 -0.687461284126828
478 478 0.8398195000589
479 479 1.2447609879854
487 487 0.716081318381095
489 489 -0.383837568580294
494 494 1.24774739522636
495 495 -0.233966455014951
497 497 -1.17654126203666
499 499 0.311557576859788
500 500 -0.490436189959881
503 503 0.357473937599995
507 507 1.02559821876011
508 508 -0.0876509122799538
509 509 -0.52680528082501
511 511 -0.200334811361655
512 512 -1.10351239370937
513 513 -0.644168318743162
514 514 0.10893099558339
515 515 0.134387845161344
516 516 0.710790684399251
517 517 1.0953352496652
523 523 0.631600086042885
527 527 0.633448902034607
529 529 -0.509138557276573
531 531 -0.0433883236734564
532 532 1.28676386099332
535 535 1.01541321005284
538 538 0.396602024627056
542 542 0.139877902313391
548 548 0.721396099758179
549 549 -1.76923685513107
552 552 1.36007182396321
553 553 -0.301120208257695
554 554 -0.854132490873087
556 556 -0.528131145809658
559 559 0.519733644739233
560 560 0.454964979399868
561 561 -1.53888908330195
562 562 1.16724985534416
563 563 0.627579605360284
566 566 1.66915677639762
570 570 -0.757392146541747
573 573 0.848313495909601
574 574 0.166744763015024
575 575 -0.093318065361084
580 580 0.710135175451733
581 581 -0.786342201903258
583 583 0.520649002429144
585 585 2.00771403305962
588 588 -1.07345531137133
592 592 1.7310687375397
593 593 -0.845814102381781
594 594 -1.18597890231502
596 596 0.732682741446706
597 597 -0.941952839089804
598 598 -1.95699726707655
599 599 1.0761845217639
600 600 0.484807287052531
605 605 -1.23447663353112
612 612 0.613441425486875
620 620 -0.259321129453705
624 624 -0.0323636153257351
630 630 0.249003826591332
635 635 -1.26139823519561
637 637 -0.163462014405851
642 642 -0.351024833591681
644 644 -1.41581456169632
645 645 -0.28904887340609
651 651 -0.526372419014314
653 653 0.398561586086512
660 660 0.97506170252256
661 661 -0.647335200887692
664 664 0.431435442974296
667 667 1.5949909770399
672 672 0.882860512844855
673 673 -0.219562885203384
676 676 -1.01934569509033
677 677 1.71640868867838
678 678 0.175341780389349
680 680 0.874591173758963
681 681 -2.38634669776316
684 684 0.048745724448066
689 689 -2.03999559994911
691 691 1.66170980336248
694 694 0.301757443485992
698 698 -0.114684967604418
699 699 0.793211473271426
700 700 -0.0315662242752741
701 701 -1.25304204652351
704 704 -0.0168987704266915
706 706 0.857214861934325
708 708 -0.0962443494873335
709 709 1.78525576809527
714 714 0.0916462507681715
717 717 2.68721979907865
719 719 -0.618730406321635
721 721 -0.736192641145397
722 722 0.011178152207823
728 728 -0.980477178998157
729 729 -0.673151656153714
730 730 -0.948656308861228
731 731 0.565270310027304
732 732 0.782968859746931
735 735 0.0874357490679602
738 738 -0.831840230183905
739 739 0.295669461337948
741 741 -0.11826758517675
744 744 -0.784685443276787
748 748 -0.368892341342043
751 751 1.31504615188642
753 753 -1.16144783532227
